symbol	P4970_SR_1	P4970_SR_2	P4970_SR_3	P4970_SR_4	P4970_SR_5	P4970_SR_6	P4970_SR_7	P4970_SR_9	P4970_SR_10	P4970_SR_11	P4970_SR_12	P4970_SR_13	P4970_SR_14
5S_rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0	0	0	0
A1BG	0	7	0	14	7	0	15	0	20	11	16	0	1
A1BG-AS1	8	14	13	15	10	29	16	10	0	0	24	3	14
A1CF	0	0	0	0	0	0	0	0	0	0	0	0	2
A2M	1770	37	1608	73	327	153	5924	748	245	180	193	76	20
A2M-AS1	7	3	11	0	27	18	2	0	0	0	25	0	10
A2ML1	1	0	17	23	25	3	16	14	29	43	40	7	2
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	0	6	24	15	4	12	8	0	33	0	2
A3GALT2	0	8	2	18	0	0	0	17	118	58	50	0	30
A4GALT	53	5	37	0	45	0	24	11	0	0	0	11	7
A4GNT	17	0	2	0	0	5	7	0	0	0	1	0	0
AAAS	193	285	109	324	208	235	316	63	252	88	199	40	299
AACS	185	154	136	131	270	314	238	137	129	109	128	53	205
AACSP1	0	0	17	0	0	0	0	14	0	0	0	0	0
AADAC	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	2	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	0	0	0	0	0	0	0	0	0	0
AAED1	254	396	188	306	379	237	680	88	282	74	218	134	288
AAGAB	181	578	69	363	289	704	425	61	208	76	558	127	712
AAK1	354	651	392	990	111	1176	742	319	808	361	830	260	997
AAMDC	14	48	27	47	35	95	43	35	36	28	29	30	50
AAMP	530	858	298	1242	480	566	1151	139	669	221	687	182	892
AANAT	62	19	92	50	46	36	151	50	270	101	163	150	31
AAR2	81	330	67	425	130	450	283	30	315	7	254	18	531
AARD	0	0	0	0	0	11	0	0	0	0	3	0	0
AARS	450	211	364	378	466	315	699	77	263	152	460	198	330
AARS2	351	173	197	246	263	224	467	174	381	68	242	94	184
AARSD1	7	21	0	21	22	17	8	4	5	0	27	0	0
AASDH	63	140	23	173	66	148	141	5	175	24	171	19	96
AASDHPPT	73	201	53	316	160	241	254	33	200	9	242	30	176
AASS	0	9	26	16	37	18	25	5	11	2	5	0	2
AATF	398	797	192	928	312	617	578	119	607	227	709	281	937
AATK	484	618	1225	640	292	103	1476	734	483	1548	277	1291	468
AATK-AS1	0	0	0	0	0	0	0	0	0	23	6	12	0
AB015752.3	0	0	7	5	20	0	26	7	0	0	6	0	0
AB019438.66	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0	0	0	0
AB019441.29	25	114	33	112	221	153	91	4	26	39	85	13	126
ABAT	107	556	158	488	121	307	278	13	237	158	412	213	290
ABBA01057584.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC13-48559800H2.2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-42389800N19.1	65	277	108	455	105	210	182	37	204	71	411	16	69
ABC7-42391500H16.2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-43041300I9.1	1	3	0	0	0	0	0	0	0	0	4	0	0
ABC9-43961700F1.1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	10670	1784	17265	1068	4045	528	14393	8969	463	8670	630	9162	1850
ABCA10	7	0	0	17	8	11	10	3	21	3	49	1	5
ABCA11P	0	0	0	3	0	9	5	0	0	0	5	0	1
ABCA12	0	0	6	0	5	0	0	7	0	0	2	4	0
ABCA13	11	14	87	20	0	79	46	89	7	118	7	235	55
ABCA17P	0	0	0	0	0	0	2	0	46	0	0	0	0
ABCA2	201	153	245	377	351	874	487	302	384	375	580	687	376
ABCA3	19	36	32	155	78	126	164	4	15	52	124	18	42
ABCA4	0	0	0	0	0	1	0	1	0	8	0	0	0
ABCA5	116	94	200	94	410	487	251	118	94	90	250	121	133
ABCA6	9	11	30	29	19	18	65	34	40	50	19	13	19
ABCA7	371	786	588	1408	510	1403	1500	1224	1559	1128	1785	1659	1891
ABCA8	4	0	27	0	9	0	28	0	0	0	0	0	0
ABCA9	6	25	12	21	0	0	6	7	11	29	25	0	7
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	19	0	0	5	186	580	22	6	26	22	66	0	0
ABCB10	207	567	104	510	107	425	547	40	399	6	404	84	455
ABCB10P1	0	0	0	4	0	2	0	0	0	0	0	0	0
ABCB10P3	0	7	0	0	0	0	1	0	0	0	0	0	0
ABCB10P4	9	0	0	0	0	0	0	0	0	0	1	0	0
ABCB11	0	0	0	8	5	0	4	0	0	0	0	2	0
ABCB4	34	12	16	5	408	111	69	21	1	14	22	9	1
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	9	0	8	6	2	0	0	10	24	5	5	7
ABCB7	223	418	119	456	369	426	347	20	167	56	328	37	437
ABCB8	267	319	191	292	300	271	452	103	200	235	387	67	268
ABCB9	17	16	66	56	55	15	114	49	19	58	4	8	10
ABCC1	1374	1757	898	1620	1342	1339	3763	532	1681	707	1362	727	1813
ABCC10	290	503	247	818	346	536	632	82	821	71	743	295	546
ABCC11	5	0	0	2	0	15	18	0	13	8	6	0	4
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC2	6	15	3	32	31	19	72	13	21	69	42	21	20
ABCC3	754	1113	373	1375	44	235	1178	114	404	169	937	84	399
ABCC4	203	132	153	184	849	265	556	90	203	29	186	21	152
ABCC5	844	558	378	512	305	509	1050	158	700	143	552	537	685
ABCC5-AS1	0	0	0	0	0	0	2	0	12	0	4	0	3
ABCC6	51	143	15	269	18	132	101	53	155	120	118	97	158
ABCC6P1	0	3	0	8	0	19	0	5	0	0	0	0	10
ABCC6P2	0	0	0	0	0	13	0	0	0	0	0	0	0
ABCC8	0	0	13	0	22	0	0	0	0	51	5	4	0
ABCC9	0	0	13	0	6	0	5	14	0	0	0	1	0
ABCD1	932	804	485	851	236	263	1710	365	701	318	655	475	736
ABCD1P2	0	0	0	0	0	7	0	0	0	0	0	2	0
ABCD1P3	0	0	0	0	0	0	0	0	11	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	26	24	12	6	0	0	29	15	0
ABCD3	163	530	111	663	303	465	342	74	285	36	425	104	577
ABCD4	182	310	141	460	390	450	399	70	404	74	418	65	361
ABCE1	129	349	134	356	467	583	385	136	439	61	397	108	269
ABCF1	630	1026	747	889	957	652	1271	714	573	1009	882	714	832
ABCF2	172	381	141	519	525	359	605	47	416	166	394	172	546
ABCF2P1	0	0	0	0	0	6	1	0	0	0	3	0	0
ABCF2P2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3	342	640	369	779	478	536	641	160	599	153	649	254	486
ABCG1	1026	218	1065	137	605	67	2766	551	84	654	83	1090	219
ABCG2	4	0	5	0	0	10	0	0	0	5	8	1	0
ABCG4	0	6	0	0	0	0	0	0	0	0	0	1	0
ABCG5	0	0	0	0	0	0	0	0	0	0	2	0	0
ABCG8	0	17	0	8	0	0	10	0	0	0	5	0	0
ABHD1	4	0	5	28	14	12	36	15	20	31	16	2	29
ABHD10	68	202	27	380	99	199	242	1	163	0	196	25	164
ABHD11	38	78	97	210	73	111	185	30	211	12	107	1	179
ABHD12	1650	480	515	471	384	479	3671	228	300	130	350	311	491
ABHD12B	0	13	20	135	0	8	11	29	68	85	52	68	58
