symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
0610005C13Rik	13	13	25	30	36	29	38	6	18	26	32	23
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	1	2
0610009B22Rik	1255	946	832	961	962	780	940	721	745	1176	1104	1126
0610009E02Rik	42	25	43	19	32	35	31	19	35	59	54	76
0610009L18Rik	256	109	184	41	141	129	118	100	90	232	168	174
0610010F05Rik	1992	2717	1789	2276	2800	1656	2716	1649	2949	3591	3731	3614
0610010K14Rik	16	43	76	68	105	19	104	55	82	98	124	103
0610012D04Rik	5	2	0	11	15	8	4	3	13	13	13	3
0610012G03Rik	6202	2703	3639	1852	3256	3090	2871	2437	3597	4059	4469	3405
0610025J13Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610030E20Rik	1049	2094	2588	2032	2836	1219	2606	1404	2744	3713	3742	3487
0610031O16Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610038B21Rik	59	97	121	210	150	60	157	52	163	141	216	124
0610039K10Rik	4	60	83	29	104	51	96	22	79	70	109	55
0610040B10Rik	149	65	85	66	73	51	78	27	49	68	67	50
0610040F04Rik	4	0	0	0	0	3	1	4	1	5	1	2
0610040J01Rik	65	62	25	32	62	3	75	37	33	43	87	11
0610043K17Rik	31	7	11	0	23	6	14	2	20	5	23	6
0710001A04Rik	0	0	0	0	0	0	0	0	0	3	2	0
1010001B22Rik	23	3	6	0	15	10	9	14	11	6	22	9
1100001I12Rik	0	0	1	0	0	0	2	2	1	3	1	1
1110002E22Rik	3	1	4	0	2	8	3	0	5	3	0	2
1110002J07Rik	231	172	312	200	430	109	379	72	376	94	327	128
1110002L01Rik	88	125	255	134	345	101	270	56	308	215	451	190
1110002O04Rik	0	0	0	0	0	0	0	1	0	0	0	0
1110003F10Rik	27	13	32	41	104	42	34	19	56	45	31	42
1110004F10Rik	6306	7406	4975	8492	6484	6631	6052	5506	6725	9800	7874	9360
1110006O24Rik	73	48	34	19	72	15	54	57	45	107	71	78
1110008E08Rik	0	0	0	0	0	0	0	0	1	0	0	0
1110008P14Rik	2181	1148	945	1309	1030	1233	907	1133	1075	1898	1319	1674
1110012L19Rik	1052	1089	786	918	957	1190	956	959	881	1552	1090	1365
1110013H19Rik	27	17	9	23	29	11	20	25	20	48	47	38
1110015O18Rik	0	0	0	0	0	0	0	0	0	3	0	0
1110017D15Rik	4	4	17	0	21	2	27	6	15	38	17	38
1110018N20Rik	0	0	0	0	0	10	0	0	1	5	0	0
1110019B22Rik	2	0	0	0	0	6	0	0	0	0	0	0
1110019D14Rik	281	240	228	242	314	226	327	244	217	323	320	310
1110020A21Rik	26	41	35	0	45	18	47	19	24	38	41	50
1110025L11Rik	0	3	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	249	90	253	40	184	33	181	91	122	149	202	167
1110028F11Rik	0	0	0	0	0	0	2	0	2	0	0	0
1110028F18Rik	0	0	0	0	0	0	5	0	3	2	0	0
1110032A03Rik	1012	1029	973	769	1230	757	1175	706	831	1088	1241	932
1110032F04Rik	1	2	0	0	0	0	0	0	0	0	0	0
1110035H17Rik	30	6	22	12	23	39	30	10	28	47	22	30
1110038B12Rik	1984	1305	1204	1156	1289	1192	1239	1021	1423	1893	1737	1908
1110038F14Rik	2551	1561	1487	1370	1702	1232	1390	1252	1516	1984	2097	1663
1110046J04Rik	335	267	205	313	264	239	233	253	182	304	225	279
1110051M20Rik	530	742	592	567	675	568	544	577	455	831	709	634
1110057P08Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110059E24Rik	1384	1181	993	862	1321	847	1170	894	1024	1400	1379	1423
1110059G10Rik	1620	1571	1588	1133	1609	1066	1664	1076	1209	1846	1853	1714
1110060G06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110065P20Rik	449	238	121	337	165	302	166	281	213	461	226	405
1190001M18Rik	18	19	21	0	36	16	18	6	43	8	21	1
1190005I06Rik	12	13	10	0	8	1	6	3	3	12	11	4
1190007I07Rik	357	192	313	221	314	210	289	169	266	249	414	238
1190028D05Rik	2	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	0	1	0	24	0	8	0	0	0	2	1	3
1300002E11Rik	254	98	221	150	184	51	155	65	191	146	217	144
1300014J16Rik	4	18	23	54	18	8	18	30	40	49	23	29
1300017J02Rik	3	5	5	0	2	11	11	10	0	4	10	4
1500002C15Rik	101	128	174	22	262	124	178	93	182	187	277	153
1500002F19Rik	13	11	9	0	24	23	4	11	5	20	22	11
1500004A13Rik	190	326	315	466	477	167	421	198	441	466	486	477
1500005C15Rik	43	5	7	14	40	23	26	13	18	21	22	27
1500009C09Rik	0	0	0	0	0	0	0	0	1	1	0	0
1500009L16Rik	0	0	0	0	0	0	0	0	1	2	1	0
1500011B03Rik	2996	1558	1605	1177	1521	1505	1269	1254	1708	2219	1959	1968
1500012K07Rik	0	0	0	0	0	12	0	0	0	0	0	4
